t	v
0	-60
0.1	-62.5826
0.2	-64.6234
0.3	-66.1747
0.4	-67.3429
0.5	-68.2204
0.6	-68.8791
0.7	-69.3736
0.8	-69.7446
0.9	-70.0227
1	-70.231
1.1	-70.3866
1.2	-70.5025
1.3	-70.5883
1.4	-70.6514
1.5	-70.6974
1.6	-70.7303
1.7	-70.7534
1.8	-70.769
1.9	-70.7791
2	-70.7849
2.1	-70.7875
2.2	-70.7878
2.3	-70.7864
2.4	-70.7837
2.5	-70.7802
2.6	-70.776
2.7	-70.7715
2.8	-70.7667
2.9	-70.7619
3	-70.757
3.1	-70.7522
3.2	-70.7476
3.3	-70.7431
3.4	-70.7388
3.5	-70.7346
3.6	-70.7307
3.7	-70.727
3.8	-70.7235
3.9	-70.7201
4	-70.717
4.1	-70.717
4.2	-70.7169
4.3	-70.7169
4.4	-70.7169
4.5	-70.7168
4.6	-70.7168
4.7	-70.7168
4.8	-70.7167
4.9	-70.7167
5	-70.7166
5.1	-70.7166
5.2	-70.7166
5.3	-70.7165
5.4	-70.7165
5.5	-70.7164
5.6	-70.7164
5.7	-70.7164
5.8	-70.7163
5.9	-70.7163
6	-70.7163
6.1	-70.7162
6.2	-70.7162
6.3	-70.7161
6.4	-70.7161
6.5	-70.7161
6.6	-70.716
6.7	-70.716
6.8	-70.716
6.9	-70.7159
7	-70.7159
7.1	-70.7158
7.2	-70.7158
7.3	-70.7158
7.4	-70.7157
7.5	-70.7157
7.6	-70.7157
7.7	-70.7156
7.8	-70.7156
7.9	-70.7155
8	-70.7155
8.1	-70.7155
8.2	-70.7154
8.3	-70.7154
8.4	-70.7154
8.5	-70.7153
8.6	-70.7153
8.7	-70.7152
8.8	-70.7152
8.9	-70.7152
9	-70.7151
9.1	-70.7151
9.2	-70.7151
9.3	-70.715
9.4	-70.715
9.5	-70.715
9.6	-70.7149
9.7	-70.7149
9.8	-70.7148
9.9	-70.7148
10	-70.7148
10.1	-70.7147
10.2	-70.7147
10.3	-70.7147
10.4	-70.7146
10.5	-70.7146
10.6	-70.7146
10.7	-70.7145
10.8	-70.7145
10.9	-70.7144
11	-70.7144
11.1	-70.7144
11.2	-70.7143
11.3	-70.7143
11.4	-70.7143
11.5	-70.7142
11.6	-70.7142
11.7	-70.7142
11.8	-70.7141
11.9	-70.7141
12	-70.7141
12.1	-70.714
12.2	-70.714
12.3	-70.714
12.4	-70.7139
12.5	-70.7139
12.6	-70.7138
12.7	-70.7138
12.8	-70.7138
12.9	-70.7137
13	-70.7137
13.1	-70.7137
13.2	-70.7136
13.3	-70.7136
13.4	-70.7136
13.5	-70.7135
13.6	-70.7135
13.7	-70.7135
13.8	-70.7134
13.9	-70.7134
14	-70.7134
14.1	-70.7133
14.2	-70.7133
14.3	-70.7133
14.4	-70.7132
14.5	-70.7132
14.6	-70.7132
14.7	-70.7131
14.8	-70.7131
14.9	-70.7131
15	-70.713
15.1	-70.713
15.2	-70.713
15.3	-70.7129
15.4	-70.7129
15.5	-70.7129
15.6	-70.7128
15.7	-70.7128
15.8	-70.7128
15.9	-70.7127
16	-70.7127
16.1	-70.7127
16.2	-70.7126
16.3	-70.7126
16.4	-70.7126
16.5	-70.7125
16.6	-70.7125
16.7	-70.7003
16.8	-70.6591
16.9	-70.6008
17	-70.515
17.1	-70.3977
17.2	-70.2731
17.3	-70.1485
17.4	-70.03
17.5	-69.9192
17.6	-69.8176
17.7	-69.725
17.8	-69.6414
17.9	-69.5659
18	-69.498
18.1	-69.4368
18.2	-69.3817
18.3	-69.3319
18.4	-69.2868
18.5	-69.2459
18.6	-69.2086
18.7	-69.1745
18.8	-69.1433
18.9	-69.1145
19	-69.0879
19.1	-69.0633
19.2	-69.0405
19.3	-69.0191
19.4	-68.9992
19.5	-68.9805
19.6	-68.963
19.7	-68.9436
19.8	-68.9207
19.9	-68.8957
20	-68.8688
20.1	-68.8405
20.2	-68.8113
20.3	-68.7812
20.4	-68.7507
20.5	-68.7198
20.6	-68.6888
20.7	-68.6578
20.8	-68.6269
20.9	-68.5962
21	-68.5658
21.1	-68.5358
21.2	-68.5063
21.3	-68.4773
21.4	-68.4489
21.5	-68.4211
21.6	-68.394
21.7	-68.3675
21.8	-68.3417
21.9	-68.3166
22	-68.2922
22.1	-68.2685
22.2	-68.2456
22.3	-68.2235
22.4	-68.202
22.5	-68.1813
22.6	-68.1614
22.7	-68.1422
22.8	-68.1236
22.9	-68.1058
23	-68.0887
23.1	-68.0723
23.2	-68.0566
23.3	-68.0415
23.4	-68.0271
23.5	-68.0133
23.6	-68.0002
23.7	-67.9877
23.8	-67.9758
23.9	-67.9644
24	-67.9537
24.1	-67.9435
24.2	-67.9339
24.3	-67.9248
24.4	-67.9162
24.5	-67.9081
24.6	-67.9005
24.7	-67.8934
24.8	-67.8868
24.9	-67.8806
25	-67.8749
25.1	-67.8696
25.2	-67.8647
25.3	-67.8603
25.4	-67.8534
25.5	-67.8424
25.6	-67.8289
25.7	-67.8131
25.8	-67.7956
25.9	-67.7767
26	-67.7568
26.1	-67.736
26.2	-67.7147
26.3	-67.693
26.4	-67.671
26.5	-67.6489
26.6	-67.6269
26.7	-67.605
26.8	-67.5833
26.9	-67.5619
27	-67.5408
27.1	-67.5201
27.2	-67.4999
27.3	-67.4802
27.4	-67.4611
27.5	-67.4424
27.6	-67.4244
27.7	-67.4069
27.8	-67.39
27.9	-67.3738
28	-67.3581
28.1	-67.3431
28.2	-67.3287
28.3	-67.315
28.4	-67.3018
28.5	-67.2893
28.6	-67.2773
28.7	-67.266
28.8	-67.2552
28.9	-67.2451
29	-67.2355
29.1	-67.2264
29.2	-67.218
29.3	-67.21
29.4	-67.2026
29.5	-67.1958
29.6	-67.1894
29.7	-67.1835
29.8	-67.1781
29.9	-67.1732
30	-67.1688
30.1	-67.1647
30.2	-67.1612
30.3	-67.158
30.4	-67.1553
30.5	-67.153
30.6	-67.1511
30.7	-67.1482
30.8	-67.1426
30.9	-67.1345
31	-67.1242
31.1	-67.112
31.2	-67.0982
31.3	-67.083
31.4	-67.0668
31.5	-67.0498
31.6	-67.032
31.7	-67.0138
31.8	-66.9953
31.9	-66.9766
32	-66.9578
32.1	-66.9391
32.2	-66.9205
32.3	-66.9022
32.4	-66.8841
32.5	-66.8665
32.6	-66.8492
32.7	-66.8323
32.8	-66.8159
32.9	-66.8001
33	-66.7848
33.1	-66.77
33.2	-66.7558
33.3	-66.7422
33.4	-66.7291
33.5	-66.7167
33.6	-66.7049
33.7	-66.6936
33.8	-66.6829
33.9	-66.6729
34	-66.6634
34.1	-66.6545
34.2	-66.6461
34.3	-66.6384
34.4	-66.6311
34.5	-66.6245
34.6	-66.6183
34.7	-66.6127
34.8	-66.6076
34.9	-66.603
35	-66.5989
35.1	-66.5953
35.2	-66.5921
35.3	-66.5894
35.4	-66.5872
35.5	-66.5854
35.6	-66.584
35.7	-66.5831
35.8	-66.5825
35.9	-66.5823
36	-66.5825
36.1	-66.5831
36.2	-66.5841
36.3	-66.5854
36.4	-66.587
36.5	-66.589
36.6	-66.5913
36.7	-66.5939
36.8	-66.5968
