t	v
0	-60
0.1	-62.5826
0.2	-64.6234
0.3	-66.1747
0.4	-67.3429
0.5	-68.2204
0.6	-68.8791
0.7	-69.3736
0.8	-69.7446
0.9	-70.0227
1	-70.231
1.1	-70.3866
1.2	-70.5025
1.3	-70.5883
1.4	-70.6514
1.5	-70.6974
1.6	-70.7303
1.7	-70.7534
1.8	-70.769
1.9	-70.7791
2	-70.7849
2.1	-70.7875
2.2	-70.7878
2.3	-70.7864
2.4	-70.7837
2.5	-70.7802
2.6	-70.776
2.7	-70.7715
2.8	-70.7667
2.9	-70.7619
3	-70.757
3.1	-70.7522
3.2	-70.7476
3.3	-70.7431
3.4	-70.7388
3.5	-70.7346
3.6	-70.7307
3.7	-70.727
3.8	-70.7235
3.9	-70.7201
4	-70.717
4.1	-70.717
4.2	-70.7169
4.3	-70.7169
4.4	-70.7169
4.5	-70.7168
4.6	-70.7168
4.7	-70.7168
4.8	-70.7167
4.9	-70.7167
5	-70.7166
5.1	-70.7166
5.2	-70.7166
5.3	-70.7165
5.4	-70.7165
5.5	-70.7164
5.6	-70.7164
5.7	-70.7164
5.8	-70.7163
5.9	-70.7163
6	-70.7163
6.1	-70.7162
6.2	-70.7162
6.3	-70.7161
6.4	-70.7161
6.5	-70.7161
6.6	-70.716
6.7	-70.716
6.8	-70.716
6.9	-70.7159
7	-70.7159
7.1	-70.7158
7.2	-70.7158
7.3	-70.7158
7.4	-70.7157
7.5	-70.7157
7.6	-70.7157
7.7	-70.7156
7.8	-70.7156
7.9	-70.7155
8	-70.7155
8.1	-70.7155
8.2	-70.7154
8.3	-70.7154
8.4	-70.7154
8.5	-70.7153
8.6	-70.7153
8.7	-70.7152
8.8	-70.7152
8.9	-70.7152
9	-70.7151
9.1	-70.7151
9.2	-70.7151
9.3	-70.715
9.4	-70.715
9.5	-70.715
9.6	-70.7149
9.7	-70.7149
9.8	-70.7148
9.9	-70.7148
10	-70.7148
10.1	-70.7147
10.2	-70.7147
10.3	-70.7147
10.4	-70.7146
10.5	-70.7146
10.6	-70.7146
10.7	-70.7145
10.8	-70.7145
10.9	-70.7144
11	-70.7144
11.1	-70.7144
11.2	-70.7143
11.3	-70.7143
11.4	-70.7143
11.5	-70.7142
11.6	-70.7142
11.7	-70.7142
11.8	-70.7141
11.9	-70.7141
12	-70.7141
12.1	-70.714
12.2	-70.714
12.3	-70.714
12.4	-70.7139
12.5	-70.7139
12.6	-70.7138
12.7	-70.7138
12.8	-70.7138
12.9	-70.7137
13	-70.7137
13.1	-70.7137
13.2	-70.7136
13.3	-70.7136
13.4	-70.7136
13.5	-70.7121
13.6	-70.7074
13.7	-70.6996
13.8	-70.6892
13.9	-70.6765
14	-70.6617
14.1	-70.6451
14.2	-70.6271
14.3	-70.6079
14.4	-70.5876
14.5	-70.5666
14.6	-70.5449
14.7	-70.5227
14.8	-70.5002
14.9	-70.4775
15	-70.4547
15.1	-70.4319
15.2	-70.4091
15.3	-70.3865
15.4	-70.364
15.5	-70.3419
15.6	-70.32
15.7	-70.2984
15.8	-70.2772
15.9	-70.2564
16	-70.236
16.1	-70.2161
16.2	-70.1965
16.3	-70.1775
16.4	-70.1589
16.5	-70.1407
16.6	-70.1163
16.7	-70.0784
16.8	-70.037
16.9	-69.9956
17	-69.9549
17.1	-69.917
17.2	-69.8813
17.3	-69.8488
17.4	-69.8187
17.5	-69.7914
17.6	-69.7664
17.7	-69.7436
17.8	-69.7227
17.9	-69.7038
18	-69.6863
18.1	-69.6703
18.2	-69.6555
18.3	-69.6419
18.4	-69.6293
18.5	-69.6176
18.6	-69.6068
18.7	-69.5967
18.8	-69.5873
18.9	-69.5785
19	-69.5702
19.1	-69.5625
19.2	-69.5553
19.3	-69.5485
19.4	-69.5422
19.5	-69.5362
19.6	-69.5306
19.7	-69.5253
19.8	-69.5204
19.9	-69.5157
20	-69.5114
20.1	-69.5073
20.2	-69.5035
20.3	-69.4999
20.4	-69.4966
20.5	-69.4935
20.6	-69.4906
20.7	-69.488
20.8	-69.4855
20.9	-69.4833
21	-69.4812
21.1	-69.4793
21.2	-69.4776
21.3	-69.4761
21.4	-69.4747
21.5	-69.4735
21.6	-69.4725
21.7	-69.4716
21.8	-69.4708
21.9	-69.4702
22	-69.4697
22.1	-69.4694
22.2	-69.4691
22.3	-69.4691
22.4	-69.4691
22.5	-69.4692
22.6	-69.4695
22.7	-69.4698
22.8	-69.4703
22.9	-69.4708
23	-69.4715
23.1	-69.4723
23.2	-69.4731
23.3	-69.4741
23.4	-69.4751
23.5	-69.4762
23.6	-69.4774
23.7	-69.4787
23.8	-69.48
23.9	-69.4814
24	-69.4829
24.1	-69.4845
24.2	-69.4861
24.3	-69.4878
24.4	-69.4896
24.5	-69.4914
24.6	-69.4933
24.7	-69.4952
24.8	-69.4972
24.9	-69.4992
25	-69.5013
25.1	-69.5035
25.2	-69.5056
25.3	-69.5079
25.4	-69.5101
25.5	-69.5125
25.6	-69.5148
25.7	-69.5172
25.8	-69.5197
25.9	-69.5221
26	-69.5246
26.1	-69.5272
26.2	-69.5298
26.3	-69.5324
26.4	-69.535
26.5	-69.5377
26.6	-69.5404
26.7	-69.5431
26.8	-69.5458
26.9	-69.5486
27	-69.5514
27.1	-69.5542
27.2	-69.5571
27.3	-69.5599
27.4	-69.5628
27.5	-69.5657
27.6	-69.5686
27.7	-69.5716
27.8	-69.5745
27.9	-69.5775
28	-69.5805
28.1	-69.5835
28.2	-69.5865
28.3	-69.5895
28.4	-69.5925
28.5	-69.5956
28.6	-69.5987
28.7	-69.6017
28.8	-69.6048
28.9	-69.6079
29	-69.611
29.1	-69.6141
29.2	-69.6172
29.3	-69.6203
29.4	-69.6235
29.5	-69.6266
29.6	-69.6297
29.7	-69.6329
29.8	-69.636
29.9	-69.6392
30	-69.6423
30.1	-69.6455
30.2	-69.6487
30.3	-69.6518
30.4	-69.655
30.5	-69.6582
30.6	-69.6613
30.7	-69.6645
30.8	-69.6677
30.9	-69.6708
31	-69.674
31.1	-69.6772
31.2	-69.6804
31.3	-69.6835
31.4	-69.6867
31.5	-69.6899
31.6	-69.6931
31.7	-69.6962
31.8	-69.6994
31.9	-69.7026
32	-69.7057
32.1	-69.7089
32.2	-69.712
32.3	-69.7152
32.4	-69.7183
32.5	-69.7215
32.6	-69.7246
32.7	-69.7278
32.8	-69.7309
32.9	-69.734
33	-69.7371
33.1	-69.7403
33.2	-69.7434
33.3	-69.7465
33.4	-69.7496
33.5	-69.7527
33.6	-69.7558
33.7	-69.7589
33.8	-69.762
33.9	-69.7651
34	-69.7681
34.1	-69.7712
34.2	-69.7743
34.3	-69.7773
34.4	-69.7804
34.5	-69.7834
34.6	-69.7865
34.7	-69.7895
34.8	-69.7925
34.9	-69.7955
35	-69.7986
35.1	-69.8016
35.2	-69.8046
35.3	-69.8076
35.4	-69.8105
35.5	-69.8135
35.6	-69.8165
35.7	-69.8195
35.8	-69.8224
35.9	-69.8254
36	-69.8283
36.1	-69.8313
36.2	-69.8342
36.3	-69.8371
36.4	-69.84
36.5	-69.8429
36.6	-69.8458
36.7	-69.8487
