t	v
0	-60
0.1	-61.4276
0.2	-61.5442
0.3	-61.5921
0.4	-62.0237
0.5	-62.8333
0.6	-62.9904
0.7	-63.7269
0.8	-64.5666
0.9	-64.245
1	-63.8937
1.1	-63.3206
1.2	-63.0671
1.3	-62.9627
1.4	-62.7242
1.5	-62.7516
1.6	-62.1874
1.7	-62.3379
1.8	-61.8238
1.9	-61.59
2	-61.3571
2.1	-61.2428
2.2	-61.4207
2.3	-60.9303
2.4	-60.0785
2.5	-60.0469
2.6	-60.4738
2.7	-59.5956
2.8	-59.2542
2.9	-58.2647
3	-57.8611
3.1	-57.8529
3.2	-58.0723
3.3	-58.3362
3.4	-58.263
3.5	-57.7272
3.6	-57.7199
3.7	-57.2877
3.8	-57.5999
3.9	-57.3588
4	-57.5383
4.1	-56.9208
4.2	-56.9263
4.3	-56.4027
4.4	-56.4405
4.5	-56.0284
4.6	-56.0431
4.7	-55.659
4.8	-55.7206
4.9	-55.457
5	-55.5387
5.1	-55.3166
5.2	-55.3031
5.3	-55.121
5.4	-55.0015
5.5	-54.9066
5.6	-54.8734
5.7	-54.6951
5.8	-54.6516
5.9	-54.5293
6	-54.5602
6.1	-54.4064
6.2	-54.4363
6.3	-54.3498
6.4	-54.3142
6.5	-54.2484
6.6	-54.1988
6.7	-54.128
6.8	-54.1077
6.9	-54.0224
7	-54.0462
7.1	-53.9483
7.2	-53.9968
7.3	-53.8963
7.4	-54.0259
7.5	-54.0173
7.6	-54.0832
7.7	-54.1336
7.8	-54.1694
7.9	-54.2385
8	-54.2325
8.1	-54.3604
8.2	-54.2946
8.3	-54.3772
8.4	-54.2809
8.5	-54.4201
8.6	-54.3028
8.7	-54.3454
8.8	-54.2449
8.9	-54.2788
9	-54.0784
9.1	-54.1418
9.2	-54.0939
9.3	-54.1636
9.4	-54.0931
9.5	-54.1914
9.6	-54.1545
9.7	-54.2494
9.8	-54.1737
9.9	-54.2031
10	-54.171
10.1	-54.1882
10.2	-54.0965
10.3	-54.087
10.4	-54.0633
10.5	-54.0192
10.6	-54
10.7	-54.0022
10.8	-54.1132
10.9	-54.0865
11	-54.16
11.1	-54.2211
11.2	-54.2101
11.3	-54.2737
11.4	-54.3297
11.5	-54.3812
11.6	-54.389
11.7	-54.49
11.8	-54.5035
11.9	-54.6157
12	-54.6788
12.1	-54.7175
12.2	-52.8197
12.3	-50.3298
12.4	-47.679
12.5	-44.9322
12.6	-42.1283
12.7	-38.9929
12.8	-34.8394
12.9	-27.9288
13	-11.9674
13.1	25.1236
13.2	37.786
13.3	38.939
13.4	36.6275
13.5	35.5793
13.6	31.408
13.7	29.2132
13.8	24.326
13.9	21.4545
14	16.5006
14.1	13.4167
14.2	8.85881
14.3	5.89906
14.4	1.91588
14.5	-0.713966
14.6	-4.04928
14.7	-6.23011
14.8	-9.02394
14.9	-10.7523
15	-13.0353
15.1	-14.54
15.2	-16.4851
15.3	-17.6648
15.4	-19.2142
15.5	-20.1677
15.6	-21.5295
15.7	-22.2499
15.8	-23.3762
15.9	-24.0656
16	-25.1295
16.1	-25.6769
16.2	-26.6934
16.3	-27.2123
16.4	-28.0896
16.5	-28.5339
16.6	-29.3424
16.7	-29.7515
16.8	-30.6086
16.9	-31.0133
17	-31.8596
17.1	-32.2908
17.2	-33.1083
17.3	-33.6496
17.4	-34.43
17.5	-34.966
17.6	-35.7025
17.7	-36.1355
17.8	-36.8809
17.9	-37.3349
18	-38.0647
18.1	-38.4551
18.2	-39.1808
18.3	-39.6009
18.4	-40.2846
18.5	-40.7086
18.6	-41.2565
18.7	-41.6951
18.8	-42.3153
18.9	-42.7626
19	-43.3347
19.1	-43.7863
19.2	-44.3286
19.3	-44.7264
19.4	-45.251
19.5	-45.5417
19.6	-45.9816
19.7	-46.3477
19.8	-46.7581
19.9	-47.0919
20	-47.4587
20.1	-47.7849
20.2	-48.1711
20.3	-48.4552
20.4	-48.8781
20.5	-49.0865
20.6	-49.4506
20.7	-49.6373
20.8	-49.9175
20.9	-50.1055
21	-50.3422
21.1	-50.4933
21.2	-50.7324
21.3	-50.8877
21.4	-51.1349
21.5	-51.2922
21.6	-51.4711
21.7	-51.6529
21.8	-51.8052
21.9	-51.9124
22	-52.1465
22.1	-52.3157
22.2	-52.4132
22.3	-52.5113
22.4	-52.6232
22.5	-52.7085
22.6	-52.786
22.7	-52.7711
22.8	-52.8086
22.9	-52.8134
23	-52.8016
23.1	-52.8701
23.2	-52.8905
23.3	-53.003
23.4	-53.0036
23.5	-53.1333
23.6	-53.1613
23.7	-53.2039
23.8	-53.2361
23.9	-53.2971
24	-53.3603
24.1	-53.3821
24.2	-53.4005
24.3	-53.4254
24.4	-53.5388
24.5	-53.5368
24.6	-53.5496
24.7	-53.5248
24.8	-53.5575
24.9	-53.5213
25	-53.5811
25.1	-53.5093
25.2	-53.4716
25.3	-53.5138
25.4	-53.5703
25.5	-53.5251
25.6	-53.6192
25.7	-53.5722
25.8	-53.7095
25.9	-53.6038
26	-53.6244
26.1	-53.4571
26.2	-53.4735
